country,year,male,female
Aruba,2021,,
Afghanistan,2021,66.51499939,14.84799957
Angola,2021,79.07099915,73.96800232
Albania,2021,66.15399933,50.73300171
Andorra,2021,,
United Arab Emirates,2021,88.00299835,46.54199982
Argentina,2021,71.60299683,50.00999832
Armenia,2021,63.00400162,42.6629982
American Samoa,2021,,
Antigua and Barbuda,2021,,
Australia,2021,70.54699707,61.05699921
Austria,2021,66.28299713,55.51399994
Azerbaijan,2021,67.34200287,60.36600113
Burundi,2021,77.3789978,78.99099731
Belgium,2021,58.81200027,49.84199905
Benin,2021,72.59899902,69.33399963
Burkina Faso,2021,72.72499847,57.23699951
Bangladesh,2021,78.78199768,34.86899948
Bulgaria,2021,62.63600159,49.14300156
Bahrain,2021,83.53099823,42.36100006
"Bahamas, The",2021,71.48600006,65.6269989
Bosnia and Herzegovina,2021,52.35100174,32.25699997
Belarus,2021,71.38700104,57.31100082
Belize,2021,76.7519989,46.89699936
Bermuda,2021,,
Bolivia,2021,83.76499939,68.28299713
Brazil,2021,68.23999786,49.11000061
Barbados,2021,63.72700119,56.05500031
Brunei Darussalam,2021,72.33899689,54.06900024
Bhutan,2021,67.39700317,51.625
Botswana,2021,65.14800262,56.2820015
Central African Rep.,2021,79.48600006,63.31200027
Canada,2021,69.74099731,60.80099869
Switzerland,2021,72.70500183,61.72800064
Channel Islands,2021,67.23799896,51.625
Chile,2021,65.54699707,44.17200089
China,2021,74.29000092,61.61199951
Cote d'Ivoire,2021,64.89299774,45.91999817
Cameroon,2021,80.74700165,70.15399933
Dem. Rep. Congo,2021,69.06500244,61.20899963
Congo,2021,67.60500336,65.06199646
Colombia,2021,77.9980011,52.18199921
Comoros,2021,54.5340004,32.11899948
Cabo Verde,2021,61.70500183,46.90999985
Costa Rica,2021,71.14199829,47.52700043
Cuba,2021,68.45400238,40.28499985
Curacao,2021,,
Cayman Islands,2021,,
Cyprus,2021,68.76599884,56.64799881
Czech Republic,2021,68.06400299,51.66799927
Germany,2021,66.04100037,56.8429985
Djibouti,2021,44.14699936,17.21800041
Dominica,2021,,
Denmark,2021,66.65299988,57.72100067
Dominican Rep.,2021,75.16200256,49.57699966
Algeria,2021,64.48000336,15.68400002
Ecuador,2021,76.51899719,53.34400177
Egypt,2021,67.08799744,15.38500023
Eritrea,2021,83.62200165,70.18299866
Spain,2021,62.41199875,52.65399933
Estonia,2021,70.16899872,57.45299911
Ethiopia,2021,84.68299866,72.33499908
Finland,2021,64.02899933,56.45999908
Fiji,2021,75.25700378,37.70100021
France,2021,59.67499924,51.89699936
Faroe Islands,2021,,
"Micronesia, Fed. Sts.",2021,,
Gabon,2021,57.01200104,39.11700058
United Kingdom,2021,67.09100342,58.04399872
Georgia,2021,68.02999878,50.99499893
Ghana,2021,72.23400116,64.52700043
Gibraltar,2021,,
Guinea,2021,62.18799973,62.06100082
"Gambia, The",2021,66.25900269,48.91699982
Guinea-Bissau,2021,78.3730011,63.86800003
Equatorial Guinea,2021,58.48300171,49.92599869
Greece,2021,58.10800171,43.29700089
Grenada,2021,,
Greenland,2021,0,0
Guatemala,2021,80.26799774,37.36299896
Guam,2021,67.20899963,53.94100189
Guyana,2021,64.09700012,40.30400085
"Hong Kong SAR, China",2021,65.77100372,53.52399826
Honduras,2021,78.94000244,42.33000183
Croatia,2021,58.75099945,45.92499924
Haiti,2021,68.93000031,60.68600082
Hungary,2021,67.20999908,52.06399918
Indonesia,2021,81.66799927,53.70399857
Isle of Man,2021,,
India,2021,70.09200287,19.2329998
Ireland,2021,68.57299805,56.52600098
Iran,2021,68.08599854,14.35400009
Iraq,2021,71.76300049,11.07800007
Iceland,2021,70.46299744,61.67100143
Israel,2021,66.07499695,58.51800156
Italy,2021,57.59199905,39.88999939
Jamaica,2021,70.00299835,56.09500122
Jordan,2021,62.3219986,13.46899986
Japan,2021,71.03099823,53.29999924
Kazakhstan,2021,75.51799774,63.27000046
Kenya,2021,75.56400299,70.98400116
Kyrgyz Republic,2021,71.66999817,42.14099884
Cambodia,2021,85.91799927,73.95999908
Kiribati,2021,,
St. Kitts and Nevis,2021,,
Korea,2021,72.44799805,53.39099884
Kuwait,2021,83.80400085,47.4280014
Lao PDR,2021,78.09300232,74.78500366
Lebanon,2021,64.33200073,20.75
Liberia,2021,79.71700287,69.78199768
Libya,2021,60.96900177,34.11899948
St. Lucia,2021,73.22799683,63.15800095
Liechtenstein,2021,,
Sri Lanka,2021,68.49500275,30.89699936
Lesotho,2021,71.34300232,56.07099915
Lithuania,2021,67.86499786,57.33800125
Luxembourg,2021,65.54399872,58.48099899
Latvia,2021,66.82700348,54.54199982
"Macao SAR, China",2021,72.51000214,65.81900024
St. Martin (French part),2021,,
Morocco,2021,65.94999695,22.00900078
Monaco,2021,,
Moldova,2021,43.93199921,33.8769989
Madagascar,2021,87.59500122,81.53099823
Maldives,2021,67.4940033,34.32600021
Mexico,2021,75.41500092,43.80899811
Marshall Islands,2021,,
North Macedonia,2021,63.44400024,42.39699936
Mali,2021,79.67299652,57.6780014
Malta,2021,71.41300201,53.08399963
Myanmar,2021,69.96199799,40.98699951
Montenegro,2021,62.00600052,47.81700134
Mongolia,2021,66.5719986,51.49499893
Northern Mariana Islands,2021,,
Mozambique,2021,78.93099976,77.65699768
Mauritania,2021,62.18999863,27.39599991
Mauritius,2021,70.44799805,43.40399933
Malawi,2021,79.95300293,71.55899811
Malaysia,2021,77.5510025,51.18799973
Namibia,2021,62.18099976,54.5320015
New Caledonia,2021,68.39199829,57.43500137
Niger,2021,84.26699829,61.72999954
Nigeria,2021,59.5909996,47.93000031
Nicaragua,2021,81.2990036,46.8030014
Netherlands,2021,71.31500244,62.44400024
Norway,2021,71.94999695,60.29399872
Nepal,2021,80.77200317,78.69100189
Nauru,2021,,
New Zealand,2021,75.33000183,65.07499695
Oman,2021,85.04199982,28.72100067
Pakistan,2021,78.07900238,20.72699928
Panama,2021,72.5719986,50.38999939
Peru,2021,81.875,66.06900024
Philippines,2021,68.30200195,43.83599854
Palau,2021,,
Papua New Guinea,2021,48.13999939,46.25400162
Poland,2021,65.48899841,49.20000076
Puerto Rico,2021,49.51399994,32.28900146
Dem. Rep. Korea,2021,86.14099884,77.18499756
Portugal,2021,62.20800018,53.97499847
Paraguay,2021,84.21399689,59.63600159
West Bank and Gaza,2021,66.28600311,16.66699982
French Polynesia,2021,61.66999817,47.50600052
Qatar,2021,95.45600128,57.21500015
Romania,2021,62.34000015,42.79499817
Russia,2021,69.71700287,54.48899841
Rwanda,2021,82.22599792,82.50099945
Saudi Arabia,2021,80.14600372,30.93700027
Sudan,2021,67.81900024,28.65299988
Senegal,2021,56.72900009,33.50999832
Singapore,2021,76.82800293,59.40599823
Solomon Islands,2021,87.39800262,83.05699921
Sierra Leone,2021,55.92499924,56.08599854
El Salvador,2021,72.56999969,43.57899857
San Marino,2021,,
Somalia,2021,46.97800064,20.90099907
Serbia,2021,62.27199936,46.61800003
South Sudan,2021,73.5739975,70.44000244
Sao Tome and Principe,2021,69.87599945,37.13700104
Suriname,2021,65.06500244,43.44900131
Slovak Republic,2021,66.41500092,54.74300003
Slovenia,2021,62.18799973,53.76300049
Sweden,2021,68.00900269,61.65100098
Eswatini,2021,53.60599899,45.62200165
Sint Maarten (Dutch part),2021,,
Seychelles,2021,,
Syrian Arab Republic,2021,70.76699829,15.71500015
Turks and Caicos Islands,2021,,
Chad,2021,69.92700195,46.91400146
Togo,2021,59.36899948,55.48799896
Thailand,2021,75.02700043,58.99200058
Tajikistan,2021,50.5340004,30.20999908
Turkmenistan,2021,55.59000015,36.54000092
Timor-Leste,2021,72.23999786,60.98699951
Tonga,2021,55.26300049,37.29199982
Trinidad and Tobago,2021,67.96099854,46.65100098
Tunisia,2021,67.15000153,25.49300003
Turkiye,2021,69.40699768,31.84300041
Tuvalu,2021,,
Tanzania,2021,87.09799957,79.52799988
Uganda,2021,71.30599976,64.17199707
Ukraine,2021,63.56700134,48.09799957
Uruguay,2021,69.25,54.77799988
United States,2021,66.43699646,55.22700119
Uzbekistan,2021,70.91600037,44.89799881
St. Vincent and the Grenadines,2021,74.09999847,52.9129982
Venezuela,2021,67.81300354,34.34799957
British Virgin Islands,2021,,
Virgin Islands (U.S.),2021,59.30500031,40.6969986
Vietnam,2021,79.43699646,69.63700104
Vanuatu,2021,78.0059967,59.72100067
Samoa,2021,54.23699951,30.70000076
Kosovo,2021,,
Yemen,2021,67.63700104,5.994999886
South Africa,2021,59.88299942,46.2120018
Zambia,2021,77.84700012,69.23000336
Zimbabwe,2021,88.93299866,79.30799866
S. Sudan,2021,67.81900024,28.65299988
